,Date,Long_rate,Country,Variable_long
15,2015,5.99125,MX,FIGB_PA
16,2016,6.19375,MX,FIGB_PA
17,2017,7.24833333333333,MX,FIGB_PA
18,2018,7.93,MX,FIGB_PA
19,2019,7.66833333333333,MX,FIGB_PA
20,2020,6.24958333333333,MX,FIGB_PA
0,1997,29.02,MD,FIGB_PA
1,1998,29.7816666666667,MD,FIGB_PA
2,2003,17.24,MD,FIGB_PA
3,2004,16.7575,MD,FIGB_PA
4,2005,6.48,MD,FIGB_PA
5,2006,9.52583333333333,MD,FIGB_PA
6,2007,14.7066666666667,MD,FIGB_PA
7,2008,19.4295833333333,MD,FIGB_PA
8,2009,18.04,MD,FIGB_PA
9,2010,7.90333333333333,MD,FIGB_PA
10,2011,12.4091666666667,MD,FIGB_PA
11,2012,7.15666666666667,MD,FIGB_PA
12,2013,6.18833333333333,MD,FIGB_PA
13,2014,7.61666666666667,MD,FIGB_PA
14,2015,20.2958333333333,MD,FIGB_PA
15,2016,17.4666666666667,MD,FIGB_PA
